Timestamp,Yaw,Pitch,Roll,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,button_state
3686259,-34.32,0.48,10.86,0.01,0.18,0.99,0.24,0.06,0.24,0.0
3686275,-34.39,0.31,10.33,0.0,0.17,0.99,0.31,0.12,0.37,0.0
3686289,-34.56,0.51,10.33,0.02,0.2,0.99,0.61,0.24,0.37,0.0
3686305,-34.45,0.69,10.93,0.01,0.2,1.0,0.18,0.06,0.31,0.0
3686319,-34.49,0.46,10.83,0.0,0.19,1.0,0.37,0.43,0.31,0.0
3686335,-34.46,0.43,10.32,0.01,0.17,0.98,0.24,0.0,0.37,0.0
3686349,-34.45,0.43,10.69,0.0,0.2,1.02,0.43,0.37,0.37,0.0
3686365,-34.49,0.43,10.74,0.01,0.19,1.01,0.37,0.12,0.31,0.0
3686379,-34.48,0.53,10.65,0.01,0.18,0.98,0.31,0.24,0.43,0.0
3686395,-34.32,0.55,10.87,0.01,0.21,1.01,0.49,0.61,0.31,0.0
3686409,-34.43,0.53,10.95,0.01,0.19,1.0,0.18,0.06,0.31,0.0
3686425,-34.23,0.47,10.52,0.01,0.18,0.99,0.31,0.37,0.31,0.0
3686439,-34.32,0.58,10.43,0.02,0.19,0.99,0.49,0.18,0.43,0.0
3686455,-34.29,0.82,10.88,0.02,0.2,1.01,0.37,0.18,0.43,0.0
3686469,-34.29,0.46,10.75,-0.0,0.19,1.0,0.37,0.55,0.24,0.0
3686485,-34.33,0.41,10.46,0.01,0.17,0.98,0.18,0.18,0.31,0.0
3686499,-34.48,0.48,10.55,0.01,0.2,1.01,0.43,0.24,0.37,0.0
3686515,-34.72,0.35,10.51,0.01,0.18,1.0,0.37,0.0,0.31,0.0
3686529,-34.67,0.51,10.52,0.01,0.18,0.99,0.43,0.18,0.31,0.0
3686545,-34.59,0.55,10.86,0.01,0.21,1.0,0.49,0.49,0.43,0.0
3686559,-34.35,0.45,10.99,0.01,0.18,1.0,0.24,-0.06,0.31,0.0
3686575,-34.5,0.28,10.39,0.0,0.18,0.99,0.24,0.24,0.24,0.0
3686589,-34.41,0.41,10.49,0.01,0.2,1.01,0.43,0.31,0.31,0.0
3686605,-34.48,0.61,11.02,0.01,0.2,1.0,0.49,0.18,0.37,0.0
3686619,-34.44,0.39,10.84,-0.0,0.19,0.99,0.18,0.24,0.31,0.0
3686635,-34.65,0.34,10.53,0.01,0.18,0.98,0.37,0.06,0.31,0.0
3686648,-34.71,0.4,10.68,0.0,0.2,1.02,0.37,0.24,0.37,0.0
3686665,-34.57,0.48,10.75,0.01,0.19,1.01,0.31,0.06,0.31,0.0
3686678,-34.54,0.66,10.57,0.02,0.18,0.98,0.24,0.18,0.37,0.0
3686695,-34.28,0.69,10.76,0.01,0.2,1.0,0.43,0.55,0.37,0.0
